seqid,start,end,strand,locus_tag,gene_id,gene_name,product,pathway
CP027540.1,1158309,1159016,-,SPV_1127,tarI,AVN86229.1,Ribitol-5-phosphate cytidylyltransferase,C_phosphorylcholine
CP027540.1,1160849,1161652,+,SPV_1129,licD1,AVN86231.1,Lipopolysaccharide cholinephosphotransferase LicD1,C_phosphorylcholine
CP027540.1,1161654,1162463,+,SPV_1130,licD2,AVN86232.1,Lipopolysaccharide cholinephosphotransferase LicD2,C_phosphorylcholine
CP027540.1,1167356,1168279,-,SPV_1133,pyrB,AVN86235.1,Aspartate carbamoyltransferase,CRISPRi_hits
CP027540.1,1168298,1168819,-,SPV_1134,pyrR,AVN86236.1,Bifunctional uracil phosphoribosyltransferase/pyrimidine operon regulatory protein PyrR,CRISPRi_hits
CP027540.1,1183021,1183464,-,SPV_1152,fld,AVN86253.1,Flavodoxin,CRISPRi_hits
CP027540.1,1192297,1192704,-,SPV_1164,cdd-2,AVN86262.1,Cytidine deaminase,CRISPRi_hits
CP027540.1,1201484,1202182,-,SPV_1172,nanE-2,AVN86270.1,N-acetylmannosamine-6-phosphate 2-epimerase,C_amino_sugar_Nglycans
CP027540.1,1228533,1229519,-,SPV_1199,cps23FU,AVN86296.1,Glycosyltransferase%2C group 2 family,C_capsule
CP027540.1,1230614,1231459,-,SPV_1201,licD3,AVN86298.2,Lipopolysaccharide cholinephosphotransferase LicD3,C_phosphorylcholine
CP027540.1,1233009,1233857,-,SPV_1203,pheA,AVN86300.1,Prephenate dehydratase,C_shikimate
CP027540.1,1233854,1234330,-,SPV_1204,aroK,AVN86301.1,Shikimate kinase I,C_shikimate
CP027540.1,1234323,1235606,-,SPV_1205,aroA,AVN86302.1,5-Enolpyruvylshikimate-3-phosphate synthase,C_shikimate
CP027540.1,1236047,1237150,-,SPV_1207,tyrA,AVN86304.1,Prephenate dehydrogenase,C_shikimate
CP027540.1,1237160,1238326,-,SPV_1208,aroC,AVN86305.1,Chorismate synthase,C_shikimate
CP027540.1,1238336,1239403,-,SPV_1209,aroB,AVN86306.1,3-dehydroquinate synthase,C_shikimate
CP027540.1,1239422,1240276,-,SPV_1210,aroE,AVN86307.1,Shikimate/quinate 5-dehydrogenase I beta,C_shikimate
CP027540.1,1240266,1240943,-,SPV_1211,aroD,AVN86308.1,3-dehydroquinate dehydratase I,C_shikimate
CP027540.1,1254616,1255566,-,SPV_1222,murB,AVN86319.1,UDP-N-acetylenolpyruvoylglucosamine reductase,C_peptidoglycan
CP027540.1,1267414,1267815,-,SPV_1236,spxA1,AVN86335.1,Transcriptional regulator SpxA1,C_pyruvate
CP027540.1,1268632,1269405,-,SPV_1238,nagD,AVN86337.1,Putative NagD-like phosphatase,C_amino_sugar_Nglycans
CP027540.1,1274323,1275030,-,SPV_1246,nagB,AVN86345.1,Glucosamine-6-phosphate deaminase,C_amino_sugar_Nglycans
CP027540.1,1302298,1302996,+,SPV_1275,nagR,AVN86370.1,Transcriptional regulator in cluster with beta-lactamase%2C GntR family,C_amino_sugar_Nglycans
CP027540.1,1308751,1309362,+,SPV_1285,def1,AVN86377.1,Peptide deformylase,CRISPRi_hits
CP027540.1,1309407,1310135,+,SPV_1286,trmH,AVN86378.1,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,CRISPRi_hits
CP027540.1,1310174,1311085,-,SPV_1287,trxB,AVN86379.1,Thioredoxin reductase,CRISPRi_hits
CP027540.1,1317383,1318762,-,SPV_1298,nox,AVN86390.1,NADH peroxidase,CRISPRi_hits
CP027540.1,1327718,1329109,-,SPV_1309,pgdA,AVN86399.1,Peptidoglycan N-acetylglucosamine deacetylase,CRISPRi_hits
CP027540.1,1329936,1330913,+,SPV_1311,mocA,AVN86400.1,Oxidoreductase%2C Gfo/Idh/MocA family,CRISPRi_hits
CP027540.1,1330910,1331992,+,SPV_1312,yfmL,AVN86401.1,ATP-dependent RNA helicase YfmL,CRISPRi_hits
CP027540.1,1341636,1343354,+,SPV_1326,pgm,AVN86409.1,Phosphoglucomutase,Leloir_Tagatose
CP027540.1,1362016,1363350,-,SPV_1349,murC,AVN86432.1,UDP-N-acetylmuramate--alanine ligase,C_peptidoglycan
CP027540.1,1371498,1373456,-,SPV_1357,aliB,AVN86437.1,Oligopeptide ABC transporter oligopeptide-binding protein AliB,CRISPRi_hits
CP027540.1,1375387,1376832,+,SPV_1359,murE,AVN86439.1,UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase,C_peptidoglycan
CP027540.1,1400404,1400814,-,SPV_1381,def2,AVN86461.1,Peptide deformylase,CRISPRi_hits
CP027540.1,1411467,1412819,-,SPV_1390,glmM,AVN86470.1,Phosphoglucosamine mutase,C_peptidoglycan
CP027540.1,1418428,1418808,-,SPV_1397,aldR,AVN86477.1,RidA/YER057c/UK114 superfamily protein,CRISPRi_hits
CP027540.1,1419415,1420647,-,SPV_1399,clpX,AVN86479.1,ATP-dependent Clp protease ATP-binding subunit ClpX,heat_shock
CP027540.1,1424042,1424800,-,SPV_1404,tpiA,AVN86484.1,Triosephosphate isomerase,C_glycolisis
CP027540.1,1424898,1425575,-,SPV_1405,dnaD,AVN86485.1,Chromosome replication initiation protein DnaD,heat_shock
CP027540.1,1428569,1429699,-,SPV_1409,msmK,AVN86490.1,Multiple sugar ABC transporter%2C ATP-binding protein,Transporters
CP027540.1,1436380,1437723,+,SPV_1416,murT,AVN86496.1,Mur ligase family protein,C_peptidoglycan
CP027540.1,1437723,1438505,+,SPV_1417,gatD,AVN86497.1,Putative amidotransferase similar to cobyric acid synthase,C_amino_sugar_Nglycans
CP027540.1,1447486,1447698,+,SPV_1430,fer,AVN86509.1,Ferredoxin,CRISPRi_hits
CP027540.1,1447760,1448731,-,SPV_1431,gtrB,AVN86510.1,Bactoprenol glucosyl transferase,CRISPRi_hits
CP027540.1,1448715,1449734,-,SPV_1432,galE-1,AVN86511.1,UDP-glucose 4-epimerase,Leloir_Tagatose
CP027540.1,1452718,1455054,-,SPV_1436,ctpE,AVN86516.1,Cadmium-transporting ATPase,CRISPRi_hits
CP027540.1,1466661,1467311,+,SPV_1450,mntR,AVN86530.1,Mn-dependent transcriptional regulator MntR,CRISPRi_hits
CP027540.1,1486438,1487130,-,SPV_1468,gpmA,AVN86547.1,Phosphoglycerate mutase,C_glycolisis
CP027540.1,1494660,1495919,-,SPV_1479,ftsZ,AVN86555.1,Cell division protein FtsZ,heat_shock
CP027540.1,1495936,1497309,-,SPV_1480,ftsA,AVN86556.1,Cell division protein FtsA,heat_shock
CP027540.1,1498921,1500294,-,SPV_1483,murF,AVN86559.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,C_peptidoglycan
CP027540.1,1501597,1502193,-,SPV_1485,recR,AVN86561.1,Recombination protein RecR,CRISPRi_hits
CP027540.1,1502204,1504261,-,SPV_1486,pbp2b,AVN86562.2,Penicillin-binding protein 2B,CRISPRi_hits
CP027540.1,1504461,1505312,+,SPV_1487,nanR,AVN86563.1,Sialic acid utilization regulator%2C RpiR family,C_amino_sugar_Nglycans
CP027540.1,1505328,1506212,-,SPV_1488,nanK,AVN86564.1,N-acetylmannosamine kinase,C_amino_sugar_Nglycans
CP027540.1,1507330,1507794,-,SPV_1490,cds-AVN86565.1,AVN86565.1,Hypothetical protein,C_amino_sugar_Nglycans
CP027540.1,1508081,1508425,-,SPV_1491,cds-AVN86566.1,AVN86566.1,Hypothetical protein,C_amino_sugar_Nglycans
CP027540.1,1508522,1508974,-,SPV_1492,yjgK,AVN86567.1,Protein YjgK%2C linked to biofilm formation,C_amino_sugar_Nglycans
CP027540.1,1509247,1510086,-,SPV_1493,satC,AVN86568.1,ABC transporter%2C putative N-acetylneuraminate transport system permease protein 2,Transporters
CP027540.1,1510102,1510989,-,SPV_1494,satB,AVN86569.1,ABC transporter%2C putative N-acetylneuraminate transport system permease protein 1,Transporters
CP027540.1,1511220,1512548,-,SPV_1495,satA,AVN86570.1,ABC transporter%2C putative N-acetylneuraminate-binding protein,Transporters
CP027540.1,1512673,1514190,-,SPV_1496,nanP,AVN86571.1,N-acetylglucosamine-specific PTS IIABC components,Transporters
CP027540.1,1514209,1514907,-,SPV_1497,nanE-1,AVN86572.1,N-acetylmannosamine-6-phosphate 2-epimerase,C_amino_sugar_Nglycans
CP027540.1,1515087,1516190,-,SPV_1498,cds-AVN86573.1,AVN86573.1,Oxidoreductase,C_amino_sugar_Nglycans
CP027540.1,1516202,1518295,-,SPV_1499,nanB,AVN86574.1,Sialidase,C_amino_sugar_Nglycans
CP027540.1,1518313,1519146,-,SPV_1500,cds-AVN86575.1,AVN86575.1,ABC transporter%2C permease protein,Transporters
CP027540.1,1519146,1520030,-,SPV_1501,ycjO,AVN86576.1,ABC transporter membrane-spanning permease%2C sugar transport YcjO,Transporters
CP027540.1,1520109,1521446,-,SPV_1502,cds-AVN86577.1,AVN86577.1,ABC transporter substrate-binding protein - sugar transport,Transporters
CP027540.1,1521465,1521917,-,SPV_1503,cds-AVN86578.1,AVN86578.1,Putative beta-D-galactosidase,C_amino_sugar_Nglycans
CP027540.1,1522932,1525994,-,SPV_1504,nanA,AVN86579.1,Sialidase NanA,C_amino_sugar_Nglycans
CP027540.1,1526282,1526509,-,SPV_1505,cds-AVN86580.1,AVN86580.1,Hypothetical protein,C_amino_sugar_Nglycans
CP027540.1,1532234,1533265,-,SPV_1510,aroF,AVN86586.1,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha,C_shikimate
CP027540.1,1533267,1534298,-,SPV_1511,aroG,AVN86587.1,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha,C_shikimate
CP027540.1,1539963,1540064,-,SPV_2542,shp1518,USH90147.1,Pheromone in Rgg1518/SHP1518 quorum-sensing system,peptide_signaling
CP027540.1,1544179,1545075,-,SPV_1521,dnaI,AVN86598.1,Helicase loader DnaI,heat_shock
CP027540.1,1545076,1546245,-,SPV_1522,dnaB,AVN86599.1,Helicase loader DnaB,heat_shock
CP027540.1,1546859,1547224,+,SPV_1524,gntR,AVN86601.1,Transcriptional regulator%2C GntR family,CRISPRi_hits
CP027540.1,1553456,1554343,-,SPV_1531,scrK,AVN86608.1,Fructokinase,C_dietary_glicans
CP027540.1,1554492,1556375,-,SPV_1532,scrA,AVN86609.1,Sucrose-specific PTS IIBCA components,Transporters
CP027540.1,1556752,1558206,+,SPV_1534,scrB,AVN86611.1,Sucrose-6-phosphate hydrolase,C_dietary_glicans
CP027540.1,1558187,1559152,+,SPV_1535,scrR,AVN86612.1,Sucrose operon repressor ScrR%2C LacI family,C_dietary_glicans
CP027540.1,1586205,1586519,+,SPV_1567,trxA,AVN86642.1,Thioredoxin,CRISPRi_hits
CP027540.1,1600138,1600983,-,SPV_1583,susT2,AVN86660.1,Transmembrane component of SuST1/SusT2 ABC Transporter,Transporters
CP027540.1,1600985,1601887,-,SPV_1584,susT1,AVN86661.1,Transmembrane component of SuST1/SusT2 ABC Transporter,Transporters
CP027540.1,1601983,1603293,-,SPV_1585,susX,AVN86662.1,Solute-binding lipoprotein component for SusT1/SusT2 ABC transporter,Transporters
CP027540.1,1603420,1604415,-,SPV_1586,susR,AVN86663.1,Sucrose utilization system repressor,Transporters
CP027540.1,1622262,1623953,-,SPV_1607,sfuB,AVN86685.1,Iron(III)-transport system permease protein SfuB,C_dietary_glicans
CP027540.1,1627039,1628019,-,SPV_1612,galE-2,AVN86689.1,UDP-glucose 4-epimerase,Leloir_Tagatose
CP027540.1,1628032,1629507,-,SPV_1613,galT-1,AVN86690.1,Galactose-1-phosphate uridylyltransferase,Leloir_Tagatose
CP027540.1,1646605,1647009,-,SPV_1632,paaI,AVN86703.1,Thioesterase,CRISPRi_hits
CP027540.1,1647079,1648560,-,SPV_1633,galT-2,AVN86704.1,Galactose-1-phosphate uridylyltransferase,Leloir_Tagatose
CP027540.1,1648579,1649757,-,SPV_1634,galK,AVN86705.1,Galactokinase,Leloir_Tagatose
CP027540.1,1649921,1650928,+,SPV_1635,galR,AVN86706.1,Galactose operon repressor%2C GalR-LacI family,Leloir_Tagatose
CP027540.1,1650974,1652011,-,SPV_1636,adhB,AVN86707.1,Alcohol dehydrogenase,C_pyruvate
CP027540.1,1654335,1655141,-,SPV_1640,pnuC,AVN86711.1,Ribosyl nicotinamide transporter PnuC,Transporters
CP027540.1,1672887,1673681,-,SPV_1661,murI,AVN86732.1,Glutamate racemase,C_peptidoglycan
CP027540.1,1676081,1678048,-,SPV_1664,treP,AVN86735.1,Trehalose-specific PTS IIBCA components,Transporters
CP027540.1,1690779,1691612,-,SPV_1675,msmG,AVN86745.1,Multiple sugar ABC transporter%2C membrane-spanning permease protein MsmG,Transporters
CP027540.1,1691626,1692492,-,SPV_1676,msmF,AVN86746.1,Multiple sugar ABC transporter%2C membrane-spanning permease protein MsmF,Transporters
CP027540.1,1692506,1693765,-,SPV_1677,msmE,AVN86747.1,Multiple sugar ABC transporter%2C substrate-binding protein MsmE,Transporters
CP027540.1,1693857,1696019,-,SPV_1678,agaN,AVN86748.1,Alpha-galactosidase,C_dietary_glicans
CP027540.1,1696127,1696987,+,SPV_1679,msmR,AVN86749.1,Multiple sugar metabolism operon regulatory protein MsmR,Transporters
CP027540.1,1710391,1712013,-,SPV_1709,groEL,AVN86756.1,Heat shock protein 60 family chaperone GroEL,CRISPRi_hits
CP027540.1,1712029,1712313,-,SPV_1710,groES,AVN86757.1,Heat shock protein 60 family co-chaperone GroES,CRISPRi_hits
CP027540.1,1737690,1738310,-,SPV_1744,comM,AVN86786.1,Immunity factor ComM,natural_competence
CP027540.1,1762909,1764192,-,SPV_1764,murA-2,AVN86804.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,C_peptidoglycan
CP027540.1,1770581,1771375,-,SPV_1774,pflA,AVN86814.1,Pyruvate formate-lyase activating enzyme,C_pyruvate
CP027540.1,1803135,1803614,-,SPV_1818,comX2,AVN86844.1,Competence-specific sigma factor ComX,natural_competence
CP027540.1,1803736,1804272,-,SPV_1819,nusG,AVN86845.2,Transcription antitermination protein NusG,CRISPRi_hits
CP027540.1,1804718,1806913,-,SPV_1821,pbp2a,AVN86848.1,Multimodular transpeptidase-transglycosylase%2C penicillin-binding protein 2A,CRISPRi_hits
CP027540.1,1807943,1808950,-,SPV_1823,gap,AVN86850.1,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase,C_glycolisis
CP027540.1,1816865,1818160,+,SPV_1831,bguD,AVN86857.1,Cellobiose-specific PTS IIC component,Transporters
CP027540.1,1818165,1818473,+,SPV_1832,bguB,AVN86858.1,Cellobiose-specific PTS IIB component,Transporters
CP027540.1,1818470,1818778,+,SPV_1833,bguC,AVN86859.1,Cellobiose-specific PTS IIA component,Transporters
CP027540.1,1819686,1822337,-,SPV_1834,adhE,AVN86860.1,Bifunctional acetaldehyde dehydrogenase/alcohol dehydrogenase,C_pyruvate
CP027540.1,1823524,1823823,-,SPV_1838,yajC,AVN86863.1,Preprotein translocase subunit YajC,CRISPRi_hits
CP027540.1,1823940,1825916,-,SPV_1839,ulaH,AVN86864.1,Transketolase,CRISPRi_hits
CP027540.1,1826030,1827121,-,SPV_1840,ulaG,AVN86865.1,Putative L-ascorbate-6-phosphate lactonase UlaG,CRISPRi_hits
CP027540.1,1827233,1828906,-,SPV_1841,ulaR,AVN86866.1,Transcriptional antiterminator,CRISPRi_hits
CP027540.1,1829085,1829789,-,SPV_1842,ulaF,AVN86867.1,L-ribulose-5-phosphate 4-epimerase,CRISPRi_hits
CP027540.1,1829791,1830654,-,SPV_1843,ulaE,AVN86868.1,L-xylulose 5-phosphate 3-epimerase,CRISPRi_hits
CP027540.1,1830658,1831323,-,SPV_1844,ulaD,AVN86869.1,3-keto-L-gulonate 6-phosphate decarboxylase,CRISPRi_hits
CP027540.1,1831340,1831825,-,SPV_1845,ulaC,AVN86870.1,Ascorbate-specific PTS IIA component,Leloir_Tagatose
CP027540.1,1831902,1832183,-,SPV_1846,ulaB,AVN86871.1,Ascorbate-specific PTS IIB component,Transporters
CP027540.1,1832206,1833663,-,SPV_1847,ulaA,AVN86872.1,Ascorbate-specific PTS IIC component,Transporters
CP027540.1,1836792,1837982,-,SPV_1853,ackA,AVN86878.1,Acetate kinase,C_pyruvate
CP027540.1,1839778,1840191,-,SPV_1857,comGG,AVN86880.1,Late competence protein ComGG,natural_competence
CP027540.1,1840169,1840630,-,SPV_1858,comGF,AVN86881.1,Late competence protein ComGF,natural_competence
CP027540.1,1840593,1840853,-,SPV_1859,comGE,AVN86882.1,Late competence protein ComGE,natural_competence
CP027540.1,1840858,1841262,-,SPV_1860,comGD,AVN86883.1,Late competence protein ComGD,natural_competence
CP027540.1,1841255,1841581,-,SPV_1861,comGC,AVN86884.1,Late competence protein ComGC,natural_competence
CP027540.1,1841583,1842455,-,SPV_1862,comGB,AVN86885.1,Late competence protein ComGB,natural_competence
CP027540.1,1842547,1843488,-,SPV_1863,comGA,AVN86886.1,Late competence protein ComGA,natural_competence
CP027540.1,1844080,1845138,-,SPV_1865,adh,AVN86888.1,Putative Zn-dependent alcohol dehydrogenase,C_pyruvate
CP027540.1,1845301,1846452,-,SPV_1866,nagA,AVN86889.1,N-acetylglucosamine-6-phosphate deacetylase,C_amino_sugar_Nglycans
CP027540.1,1846605,1848422,-,SPV_1867,adr,AVN86890.1,Acyltransferase family,CRISPRi_hits
CP027540.1,1867120,1868469,-,SPV_1897,pgi,AVN86902.1,Glucose-6-phosphate isomerase,C_glycolisis
CP027540.1,1876446,1876892,-,SPV_1904,argR1,AVN86908.1,Arginine pathway regulatory protein ArgR1,C_arginine
CP027540.1,1877040,1878731,+,SPV_1905,argS,AVN86909.1,Arginyl-tRNA synthetase,C_arginine
CP027540.1,1888745,1889644,+,SPV_1919,galU,AVN86922.1,UTP--glucose-1-phosphate uridylyltransferase,Leloir_Tagatose
CP027540.1,1894025,1896490,-,SPV_1925,pbp1b,AVN86928.1,Multimodular transpeptidase-transglycosylase%2C penicillin-binding protein 1B,CRISPRi_hits
CP027540.1,1896632,1897888,+,SPV_1926,tyrS,AVN86929.1,Tyrosyl-tRNA synthetase,C_shikimate
CP027540.1,1897966,1900029,-,SPV_1927,ctpC,AVN86930.1,Lead%2C cadmium%2C zinc and mercury transporting ATPase,CRISPRi_hits
CP027540.1,1903725,1905983,-,SPV_1932,malP,AVN86936.1,Maltodextrin phosphorylase,CRISPRi_hits
CP027540.1,1906009,1907526,-,SPV_1933,malQ,AVN86937.1,4-alpha-glucanotransferase (amylomaltase),CRISPRi_hits
CP027540.1,1908076,1909347,+,SPV_1934,malX,AVN86938.1,Maltose/maltodextrin ABC transporter%2C substrate binding periplasmic protein MalX,Transporters
CP027540.1,1909458,1910750,+,SPV_1935,malC,AVN86939.1,Maltose/maltodextrin ABC transporter%2C permease protein MalC,Transporters
CP027540.1,1910752,1911594,+,SPV_1936,malD,AVN86940.1,Maltose/maltodextrin ABC transporter%2C permease protein MalD,Transporters
CP027540.1,1911847,1912647,+,SPV_1937,malA,AVN86941.1,Maltodextrose utilization protein MalA,CRISPRi_hits
CP027540.1,1912657,1913643,+,SPV_1938,malR,AVN86942.1,Maltose operon transcriptional repressor MalR%2C LacI family,CRISPRi_hits
CP027540.1,1927715,1929061,-,SPV_1959,ulaA2,AVN86963.1,Putative transport protein SgaT,CRISPRi_hits
CP027540.1,1929074,1929358,-,SPV_1960,ulaB2,AVN86964.1,Putative PTS IIB component,Transporters
CP027540.1,1929362,1931392,-,SPV_1961,ulaR2,AVN86965.1,Transcription antiterminator%2C BglG family,CRISPRi_hits
CP027540.1,1940686,1943331,-,SPV_1971,cds-AVN86975.1,AVN86975.1,Alpha-mannosidase,C_amino_sugar_Nglycans
CP027540.1,1944873,1946957,+,SPV_1973,cds-AVN86977.1,AVN86977.1,Alpha-1%2C2-mannosidase,C_amino_sugar_Nglycans
CP027540.1,1958292,1959443,-,SPV_1985,adh2,AVN86987.1,Lactaldehyde dehydrogenase involved in fucose or rhamnose utilization,C_pyruvate
CP027540.1,1966891,1967691,-,SPV_1989,cds-AVN86991.1,AVN86991.1,Mannose-specific PTS IID component,Transporters
CP027540.1,1967688,1968461,-,SPV_1990,cds-AVN86992.1,AVN86992.1,Mannose-specific PTS IIC component,Transporters
CP027540.1,1968486,1968956,-,SPV_1991,cds-AVN86993.1,AVN86993.1,PTS IIB component,Transporters
CP027540.1,1968947,1969390,-,SPV_1992,cds-AVN86994.1,AVN86994.1,PTS IIA component,Transporters
CP027540.1,1987137,1987283,-,SPV_2010,cds-AVN87012.1,AVN87012.1,Hypothetical protein,C_glycerol
CP027540.1,1988305,1990131,-,SPV_2012,glpO,AVN87014.1,Alpha-glycerophosphate oxidase,C_glycerol
CP027540.1,1990173,1991681,-,SPV_2013,glpK,AVN87015.1,Glycerol kinase,C_glycerol
CP027540.1,2000918,2003350,-,SPV_2022,clpC,AVN87025.1,ATP-dependent Clp protease ATP-binding subunit ClpC,heat_shock
CP027540.1,2003352,2003810,-,SPV_2023,ctsR,AVN87026.1,Transcriptional regulator CtsR,heat_shock
CP027540.1,2008672,2010024,-,SPV_2030,dnaC,AVN87033.1,Replicative DNA helicase DnaC,heat_shock
CP027540.1,2013254,2013916,-,SPV_2034,comFC,AVN87037.1,Phosphoribosyltransferase domain protein%2C ComF operon protein C,natural_competence
CP027540.1,2013913,2015211,-,SPV_2035,comFA,AVN87038.1,DNA transporter ATPase%2C ComF operon protein A,natural_competence
CP027540.1,2022072,2022566,-,SPV_2044,mreD,AVN87044.1,Cell shape-determining protein MreD,CRISPRi_hits
CP027540.1,2022566,2023384,-,SPV_2045,mreC,AVN87045.1,Cell shape-determining protein MreC,CRISPRi_hits
CP027540.1,2023443,2024237,-,SPV_2046,cbiQ,AVN87046.1,Transmembrane component of general energizing module of ECF transporter,CRISPRi_hits
CP027540.1,2024230,2025069,-,SPV_2047,cbiO2,AVN87047.1,ATPase component of general energizing module of ECF transporter,CRISPRi_hits
CP027540.1,2025054,2025881,-,SPV_2048,cbiO1,AVN87048.1,ATPase component of general energizing module of ECF transporter,CRISPRi_hits
CP027540.1,2041199,2041951,-,SPV_2063,comE,AVN87060.1,Two-component system response regulator ComE,natural_competence
CP027540.1,2041948,2043273,-,SPV_2064,comD,AVN87061.1,Two-component system sensor histidine kinase ComD,natural_competence
CP027540.1,2043294,2043419,-,SPV_2065,comC1,AVN87062.1,Competence-stimulating peptide precursor ComC,natural_competence
